37791.010 IndBall = 2	| H = 33768.37560	 VH = 1359.98617	 AH = -11.09754 |	A = 117100.49406	Ac = 58550.24703	Ac_pred = 0.00000	delta_Ac = 5855024.70292	D = 242323.00717	throw_angle = 60.42070	TType = 0
37791.014 IndBall = 2	| H = 33768.37560	 VH = 1359.98617	 AH = -11.09754 |	A = 117100.49406	Ac = 87825.37054	Ac_pred = 58550.24703	delta_Ac = 0.50000	D = 242323.00717	throw_angle = 60.81121	TType = 0
37791.017 IndBall = 2	| H = 33768.37560	 VH = 1359.98617	 AH = -11.09754 |	A = 117100.49406	Ac = 102462.93230	Ac_pred = 87825.37054	delta_Ac = 0.16667	D = 242323.00717	throw_angle = 60.81121	TType = 0
37791.018 IndBall = 2	| H = 33768.37560	 VH = 1359.98617	 AH = -11.09754 |	A = 117100.49406	Ac = 109781.71318	Ac_pred = 102462.93230	delta_Ac = 0.07143	D = 242323.00717	throw_angle = 60.81121	TType = 0
37791.021 IndBall = 2	| H = 33768.37560	 VH = 1359.98617	 AH = -11.09754 |	A = 117100.49406	Ac = 113441.10362	Ac_pred = 109781.71318	delta_Ac = 0.03333	D = 242323.00717	throw_angle = 60.81121	TType = 0
37791.025 IndBall = 2	| H = 35220.06515	 VH = 1353.80710	 AH = -9.82019 |	A = 128537.65527	Ac = 120989.37944	Ac_pred = 113441.10362	delta_Ac = 0.06654	D = 242323.00717	throw_angle = 60.81121	TType = 0
37791.027 IndBall = 2	| H = 35486.57421	 VH = 1352.23874	 AH = -9.51709 |	A = 131553.17641	Ac = 126271.27793	Ac_pred = 120989.37944	delta_Ac = 0.04366	D = 242323.00717	throw_angle = 60.81121	TType = 0
37791.031 IndBall = 2	| H = 35486.57421	 VH = 1352.23874	 AH = -9.51709 |	A = 131553.17641	Ac = 128912.22717	Ac_pred = 126271.27793	delta_Ac = 0.02091	D = 242323.00717	throw_angle = 60.81121	TType = 0
37791.034 IndBall = 2	| H = 35486.57421	 VH = 1352.23874	 AH = -9.51709 |	A = 131553.17641	Ac = 130232.70179	Ac_pred = 128912.22717	delta_Ac = 0.01024	D = 242323.00717	lambda = 22.16378	TType = 1
37791.036 IndBall = 2	| H = 35486.57421	 VH = 1352.23874	 AH = -9.51709 |	A = 131553.17641	Ac = 130892.93910	Ac_pred = 130232.70179	delta_Ac = 0.00507	D = 242323.00717	lambda = 22.27614	TType = 1
37791.057 IndBall = 2	| H = 38500.29842	 VH = 1333.42482	 AH = -9.06439 |	A = 136577.63588	Ac = 133735.28749	Ac_pred = 130892.93910	delta_Ac = 0.02172	D = 242323.00717	throw_angle = 60.81121	TType = 0
37791.068 IndBall = 5	| H = 37344.14777	 VH = 1018.49460	 AH = -45.30745 |	A = 48791.83604	Ac = 24395.91802	Ac_pred = 0.00000	delta_Ac = 2439591.80210	D = 158486.36844	throw_angle = 0.00000	TType = 0
37791.068 IndBall = 1	| H = 26200.97278	 VH = 957.40515	 AH = -10.69695 |	A = 69046.09218	Ac = 34523.04609	Ac_pred = 0.00000	delta_Ac = 3452304.60920	D = 440317.06648	throw_angle = 27.09996	TType = 0
37791.071 IndBall = 2	| H = 38500.29842	 VH = 1333.42482	 AH = -9.06439 |	A = 136577.63588	Ac = 135156.46168	Ac_pred = 133735.28749	delta_Ac = 0.01063	D = 242323.00717	lambda = 23.00173	TType = 1
37791.071 IndBall = 1	| H = 26200.97278	 VH = 957.40515	 AH = -10.69695 |	A = 69046.09218	Ac = 51784.56914	Ac_pred = 34523.04609	delta_Ac = 0.50000	D = 440317.06648	throw_angle = 27.06369	TType = 0
37791.074 IndBall = 1	| H = 26200.97278	 VH = 957.40515	 AH = -10.69695 |	A = 69046.09218	Ac = 60415.33066	Ac_pred = 51784.56914	delta_Ac = 0.16667	D = 440317.06648	throw_angle = 27.06369	TType = 0
37791.076 IndBall = 1	| H = 26200.97278	 VH = 957.40515	 AH = -10.69695 |	A = 69046.09218	Ac = 64730.71142	Ac_pred = 60415.33066	delta_Ac = 0.07143	D = 440317.06648	throw_angle = 27.06369	TType = 0
37791.079 IndBall = 1	| H = 26200.97278	 VH = 957.40515	 AH = -10.69695 |	A = 69046.09218	Ac = 66888.40180	Ac_pred = 64730.71142	delta_Ac = 0.03333	D = 440317.06648	throw_angle = 27.06369	TType = 0
37791.082 IndBall = 1	| H = 27158.92661	 VH = 944.92392	 AH = -11.57796 |	A = 65718.45954	Ac = 66303.43067	Ac_pred = 66888.40180	delta_Ac = 0.00882	D = 440317.06648	lambda = 7.42848	TType = 3
37791.084 IndBall = 5	| H = 38545.28485	 VH = 968.53273	 AH = -36.96360 |	A = 51234.19720	Ac = 37815.05761	Ac_pred = 24395.91802	delta_Ac = 0.55006	D = 148274.15087	throw_angle = 60.16836	TType = 0
37791.087 IndBall = 5	| H = 38545.28485	 VH = 968.53273	 AH = -36.96360 |	A = 51234.19720	Ac = 44524.62740	Ac_pred = 37815.05761	delta_Ac = 0.17743	D = 148274.15087	throw_angle = 62.04297	TType = 0
37791.087 IndBall = 1	| H = 27158.92661	 VH = 944.92392	 AH = -11.57796 |	A = 65718.45954	Ac = 66010.94510	Ac_pred = 66303.43067	delta_Ac = 0.00443	D = 440317.06648	lambda = 7.39571	TType = 3
37791.090 IndBall = 5	| H = 38545.28485	 VH = 968.53273	 AH = -36.96360 |	A = 51234.19720	Ac = 47879.41230	Ac_pred = 44524.62740	delta_Ac = 0.07535	D = 148274.15087	throw_angle = 62.04297	TType = 0
37791.092 IndBall = 5	| H = 38545.28485	 VH = 968.53273	 AH = -36.96360 |	A = 51234.19720	Ac = 49556.80475	Ac_pred = 47879.41230	delta_Ac = 0.03503	D = 148274.15087	throw_angle = 62.04297	TType = 0
37791.098 IndBall = 8	| H = 21149.16320	 VH = 285.92952	 AH = -42.79254 |	A = 22104.41941	Ac = 11052.20971	Ac_pred = 0.00000	delta_Ac = 1105220.97067	D = 82036.73596	throw_angle = 0.00000	TType = 0
37791.104 IndBall = 6	| H = 39920.78135	 VH = 1079.34346	 AH = -34.90494 |	A = 56608.71089	Ac = 28304.35545	Ac_pred = 0.00000	delta_Ac = 2830435.54469	D = 81945.82082	throw_angle = 0.00000	TType = 0
37791.107 IndBall = 5	| H = 39541.43870	 VH = 941.29275	 AH = -30.81869 |	A = 53916.35315	Ac = 51736.57895	Ac_pred = 49556.80475	delta_Ac = 0.04399	D = 148274.15087	throw_angle = 62.04297	TType = 0
37791.109 IndBall = 6	| H = 39920.78135	 VH = 1079.34346	 AH = -34.90494 |	A = 56608.71089	Ac = 42456.53317	Ac_pred = 28304.35545	delta_Ac = 0.50000	D = 81732.68447	throw_angle = 75.29209	TType = 0
37791.112 IndBall = 5	| H = 39541.43870	 VH = 941.29275	 AH = -30.81869 |	A = 53916.35315	Ac = 52826.46605	Ac_pred = 51736.57895	delta_Ac = 0.02107	D = 148274.15087	throw_angle = 62.04297	TType = 0
37791.112 IndBall = 6	| H = 40057.98183	 VH = 1038.88486	 AH = -35.22270 |	A = 55378.80701	Ac = 48917.67009	Ac_pred = 42456.53317	delta_Ac = 0.15218	D = 81732.68447	throw_angle = 75.90512	TType = 0
37791.113 IndBall = 8	| H = 24885.21687	 VH = 245.17476	 AH = -31.69616 |	A = 25833.44933	Ac = 18442.82952	Ac_pred = 11052.20971	delta_Ac = 0.66870	D = 83700.52940	throw_angle = 24.83340	TType = 0
37791.116 IndBall = 6	| H = 40057.98183	 VH = 1038.88486	 AH = -35.22270 |	A = 55378.80701	Ac = 52148.23855	Ac_pred = 48917.67009	delta_Ac = 0.06604	D = 81732.68447	throw_angle = 75.90512	TType = 0
37791.116 IndBall = 8	| H = 24885.21687	 VH = 245.17476	 AH = -31.69616 |	A = 25833.44933	Ac = 22138.13942	Ac_pred = 18442.82952	delta_Ac = 0.20037	D = 83700.52940	throw_angle = 24.83340	TType = 0
37791.116 IndBall = 5	| H = 39541.43870	 VH = 941.29275	 AH = -30.81869 |	A = 53916.35315	Ac = 53371.40960	Ac_pred = 52826.46605	delta_Ac = 0.01032	D = 148274.15087	lambda = 12.81041	TType = 1
37791.119 IndBall = 8	| H = 24885.21687	 VH = 245.17476	 AH = -31.69616 |	A = 25833.44933	Ac = 23985.79438	Ac_pred = 22138.13942	delta_Ac = 0.08346	D = 83700.52940	throw_angle = 24.83340	TType = 0
37791.119 IndBall = 5	| H = 39541.43870	 VH = 941.29275	 AH = -30.81869 |	A = 53916.35315	Ac = 53643.88138	Ac_pred = 53371.40960	delta_Ac = 0.00511	D = 148274.15087	lambda = 12.87580	TType = 1
37791.119 IndBall = 6	| H = 40057.98183	 VH = 1038.88486	 AH = -35.22270 |	A = 55378.80701	Ac = 53763.52278	Ac_pred = 52148.23855	delta_Ac = 0.03097	D = 81732.68447	throw_angle = 75.90512	TType = 0
37791.123 IndBall = 6	| H = 40057.98183	 VH = 1038.88486	 AH = -35.22270 |	A = 55378.80701	Ac = 54571.16489	Ac_pred = 53763.52278	delta_Ac = 0.01502	D = 81732.68447	lambda = 19.87404	TType = 1
37791.123 IndBall = 8	| H = 24885.21687	 VH = 245.17476	 AH = -31.69616 |	A = 25833.44933	Ac = 24909.62185	Ac_pred = 23985.79438	delta_Ac = 0.03852	D = 83700.52940	throw_angle = 24.83340	TType = 0
37791.126 IndBall = 6	| H = 40057.98183	 VH = 1038.88486	 AH = -35.22270 |	A = 55378.80701	Ac = 54974.98595	Ac_pred = 54571.16489	delta_Ac = 0.00740	D = 81732.68447	lambda = 20.02111	TType = 1
37791.126 IndBall = 8	| H = 24885.21687	 VH = 245.17476	 AH = -31.69616 |	A = 25833.44933	Ac = 25371.53559	Ac_pred = 24909.62185	delta_Ac = 0.01854	D = 83700.52940	lambda = 9.08734	TType = 3
37791.128 IndBall = 8	| H = 25409.67410	 VH = 212.55637	 AH = -27.29707 |	A = 26237.23919	Ac = 25804.38739	Ac_pred = 25371.53559	delta_Ac = 0.01706	D = 83700.52940	lambda = 9.24238	TType = 3
37791.128 IndBall = 5	| H = 40712.75865	 VH = 908.77622	 AH = -28.73199 |	A = 55084.79198	Ac = 54364.33668	Ac_pred = 53643.88138	delta_Ac = 0.01343	D = 148274.15087	lambda = 13.04873	TType = 1
37791.129 IndBall = 6	| H = 41346.43064	 VH = 1004.37388	 AH = -31.85256 |	A = 57181.37355	Ac = 56078.17975	Ac_pred = 54974.98595	delta_Ac = 0.02007	D = 81732.68447	throw_angle = 75.90512	TType = 0
37791.135 IndBall = 10	| H = 25402.14065	 VH = 298.87418	 AH = -38.52094 |	A = 26561.58500	Ac = 13280.79250	Ac_pred = 0.00000	delta_Ac = 1328079.25004	D = 42865.72189	throw_angle = 0.00000	TType = 0
37791.139 IndBall = 9	| H = 40191.87607	 VH = 1012.40237	 AH = -29.84222 |	A = 57364.83480	Ac = 28682.41740	Ac_pred = 0.00000	delta_Ac = 2868241.74025	D = 75707.83517	throw_angle = 0.00000	TType = 0
37791.143 IndBall = 9	| H = 40703.98272	 VH = 1007.09655	 AH = -26.57694 |	A = 59785.25454	Ac = 44233.83597	Ac_pred = 28682.41740	delta_Ac = 0.54219	D = 75707.83517	throw_angle = 74.85623	TType = 0
37791.143 IndBall = 6	| H = 41346.43064	 VH = 1004.37388	 AH = -31.85256 |	A = 57181.37355	Ac = 56629.77665	Ac_pred = 56078.17975	delta_Ac = 0.00984	D = 81732.68447	lambda = 20.62376	TType = 1
37791.146 IndBall = 9	| H = 40703.98272	 VH = 1007.09655	 AH = -26.57694 |	A = 59785.25454	Ac = 52009.54525	Ac_pred = 44233.83597	delta_Ac = 0.17579	D = 75707.83517	throw_angle = 74.85623	TType = 0
37791.151 IndBall = 10	| H = 26717.09821	 VH = 263.10555	 AH = -19.28248 |	A = 28512.10948	Ac = 20896.45099	Ac_pred = 13280.79250	delta_Ac = 0.57343	D = 42865.72189	throw_angle = 46.70482	TType = 0
37791.154 IndBall = 10	| H = 26717.09821	 VH = 263.10555	 AH = -19.28248 |	A = 28512.10948	Ac = 24704.28023	Ac_pred = 20896.45099	delta_Ac = 0.18222	D = 42865.72189	throw_angle = 46.70482	TType = 0
37791.157 IndBall = 10	| H = 26717.09821	 VH = 263.10555	 AH = -19.28248 |	A = 28512.10948	Ac = 26608.19486	Ac_pred = 24704.28023	delta_Ac = 0.07707	D = 42865.72189	throw_angle = 46.70482	TType = 0
37791.157 IndBall = 8	| H = 25431.12672	 VH = 189.22326	 AH = -24.48360 |	A = 26162.33959	Ac = 25983.36349	Ac_pred = 25804.38739	delta_Ac = 0.00694	D = 83700.52940	lambda = 9.30648	TType = 3
37791.160 IndBall = 10	| H = 26717.09821	 VH = 263.10555	 AH = -19.28248 |	A = 28512.10948	Ac = 27560.15217	Ac_pred = 26608.19486	delta_Ac = 0.03578	D = 42865.72189	throw_angle = 46.70482	TType = 0
